duration,genre,rating,title,year
2h 22min,Drama,9.3,The Shawshank Redemption,1994
1h 58min,Crime,8.6,The Silence of the Lambs,1991
2h 10min,Drama,8.6,It's a Wonderful Life,1946
1h 56min,Comedy,8.6,Life Is Beautiful,1997
2h 10min,Crime,8.6,City of God,2002
2h 49min,Drama,8.6,Saving Private Ryan,1998
2h 7min,Crime,8.6,Se7en,1995
2h 1min,Action,8.6,Star Wars: Episode IV - A New Hope,1977
3h 27min,Action,8.6,Seven Samurai,1954
2h 16min,Action,8.7,The Matrix,1999
2h 13min,Drama,8.7,One Flew Over the Cuckoo's Nest,1975
2h 59min,Adventure,8.7,The Lord of the Rings: The Two Towers,2002
2h 26min,Biography,8.7,Goodfellas,1990
2h 4min,Action,8.7,Star Wars: Episode V - The Empire Strikes Back,1980
2h 28min,Action,8.8,Inception,2010
2h 22min,Drama,8.8,Forrest Gump,1994
2h 33min,Drama,8.2,Chak de! India,2007
2h 1min,Drama,8.1,The Battle of Algiers,1966
1h 46min,Crime,8.1,The Invisible Guest,2016
2h 5min,Animation,8.0,Castle in the Sky,1986
1h 30min,Animation,8.0,Aladdin,1992
2h 33min,Comedy,8.1,PK,2014
1h 50min,Biography,8.0,Butch Cassidy and the Sundance Kid,1969
2h 4min,Animation,8.1,Akira,1988
1h 47min,Action,8.0,The Terminator,1984
1h 20min,Drama,8.0,Before Sunset,2004
2h 25min,Drama,8.1,"Paris, Texas",1984
1h 38min,Drama,8.1,In the Mood for Love,2000
2h 26min,Drama,8.1,The Help,2011
2h 40min,Crime,8.4,Drishyam,2013
5h 21min,Action,8.2,Gangs of Wasseypur,2012
1h 38min,Adventure,8.1,The Princess Bride,1987
3h 44min,Adventure,8.1,Lagaan: Once Upon a Time in India,2001
1h 38min,Crime,8.1,La Haine,1995
3h 29min,Biography,8.1,The Irishman,2019
1h 45min,Comedy,8.1,It Happened One Night,1934
1h 51min,Drama,8.2,Ace in the Hole,1951
1h 54min,Action,8.2,White Heat,1949
1h 32min,Animation,8.0,"Monsters, Inc.",2001
2h 25min,Drama,8.1,The Handmaiden,2016
2h,Drama,8.1,Rocky,1976
2h 10min,Drama,8.1,Rebecca,1940
2h 9min,Biography,8.1,Spotlight,2015
2h 34min,Drama,8.1,Amores Perros,2000
2h 8min,Comedy,8.1,Dead Poets Society,1989
2h 1min,Biography,8.1,Hotel Rwanda,2004
2h 15min,Drama,8.2,The Red Shoes,1948
2h 10min,Adventure,8.1,Harry Potter and the Deathly Hallows: Part 2,2011
1h 57min,Animation,8.1,Nausicaä of the Valley of the Wind,1984
1h 39min,Crime,8.1,The 400 Blows,1959
3h 25min,Biography,8.2,Andrei Rublev,1966
2h 47min,Comedy,8.2,Rang De Basanti,2006
3h 32min,Adventure,8.1,Ben-Hur,1959
1h 33min,Drama,8.1,Hachi: A Dog's Tale,2009
2h 3min,Biography,8.1,Rush,2013
1h 54min,Biography,8.1,The Passion of Joan of Arc,1928
3h 5min,Adventure,8.1,Barry Lyndon,1975
2h 12min,Drama,8.1,Million Dollar Baby,2004
2h,Drama,8.1,Platoon,1986
2h 17min,Action,8.1,Logan,2017
1h 34min,Comedy,8.1,Monty Python's Life of Brian,1979
2h 1min,Drama,8.1,Network,1976
2h 11min,Adventure,8.1,The Wages of Fear,1953
2h,Action,8.1,Mad Max: Fury Road,2015
1h 29min,Adventure,8.1,Stand by Me,1986
2h 28min,Adventure,8.1,Into the Wild,2007
2h 33min,Crime,8.1,Prisoners,2013
2h 21min,Biography,8.1,Catch Me If You Can,2002
2h 14min,Biography,8.1,12 Years a Slave,2013
2h 7min,Crime,8.1,Cool Hand Luke,1967
45min,Action,8.2,Sherlock Jr.,1924
1h 41min,Drama,8.1,Before Sunrise,1995
1h 23min,Drama,8.1,Persona,1966
1h 38min,Animation,8.1,How to Train Your Dragon,2010
2h 12min,Action,8.1,Memories of Murder,2003
1h 7min,Action,8.1,The General,1926
2h 9min,Comedy,8.1,Mr. Smith Goes to Washington,1939
1h 39min,Adventure,8.1,The Grand Budapest Hotel,2014
2h 13min,Biography,8.1,In the Name of the Father,1993
2h 29min,Drama,8.1,Gone Girl,2014
2h 19min,Biography,8.1,Hacksaw Ridge,2016
1h 57min,Comedy,8.1,The Big Lebowski,1998
1h 32min,Animation,8.1,Mary and Max,2009
2h 17min,Comedy,8.1,Marriage Story,2019
2h 2min,Comedy,8.1,Wild Tales,2014
2h 42min,Drama,8.2,Stalker,1979
1h 43min,Comedy,8.1,The Truman Show,1998
2h 8min,Crime,8.3,The Bandit,1996
2h 16min,Drama,8.2,Tokyo Story,1953
3h 3min,Drama,8.1,The Deer Hunter,1978
1h 56min,Drama,8.1,Gran Torino,2008
1h 51min,Action,8.1,Kill Bill: Vol. 1,2003
2h 19min,Crime,8.4,Andhadhun,2018
1h 38min,Crime,8.1,Fargo,1996
1h 36min,Animation,8.2,Klaus,2019
1h 33min,Film-Noir,8.1,The Third Man,1949
1h 40min,Animation,8.1,Finding Nemo,2003
2h 7min,Action,8.1,Jurassic Park,1993
1h 31min,Drama,8.2,Wild Strawberries,1957
1h 48min,Crime,8.1,On the Waterfront,1954
2h 41min,Adventure,8.1,The Bridge on the River Kwai,1957
1h 57min,Action,8.1,Blade Runner,1982
1h 49min,Horror,8.1,The Thing,1982
3h 58min,Drama,8.1,Gone with the Wind,1939
2h 18min,Mystery,8.1,Shutter Island,2010
1h 47min,Drama,8.1,The Sixth Sense,1999
1h 58min,Drama,8.1,Room,2015
